Card,Floor,Picked,Act,Boss
Madness,0.0,True,1,False
Forethought,0.0,False,1,False
Mind Blast,0.0,False,1,False
SKIP,0.0,False,1,False
Anger,1.0,True,1,False
Wild Strike,1.0,False,1,False
Searing Blow,1.0,False,1,False
SKIP,1.0,False,1,False
Ghostly Armor,3.0,True,1,False
Dark Embrace,3.0,False,1,False
True Grit,3.0,False,1,False
SKIP,3.0,False,1,False
Pommel Strike,4.0,True,1,False
Searing Blow,4.0,False,1,False
Flex,4.0,False,1,False
SKIP,4.0,False,1,False
Shrug It Off,5.0,True,1,False
Anger,5.0,False,1,False
Reckless Charge,5.0,False,1,False
SKIP,5.0,False,1,False
Power Through,7.0,True,1,False
Dual Wield,7.0,False,1,False
True Grit,7.0,False,1,False
SKIP,7.0,False,1,False
Pommel Strike,8.0,True,1,False
Flex,8.0,False,1,False
Clothesline,8.0,False,1,False
SKIP,8.0,False,1,False
Shrug It Off,1.0,True,1,False
Iron Wave,1.0,False,1,False
Headbutt,1.0,False,1,False
SKIP,1.0,False,1,False
Burning Pact,2.0,True,1,False
Body Slam,2.0,False,1,False
Thunderclap,2.0,False,1,False
SKIP,2.0,False,1,False
Power Through,3.0,True,1,False
True Grit,3.0,False,1,False
Body Slam,3.0,False,1,False
SKIP,3.0,False,1,False
Inflame,6.0,True,1,False
Perfected Strike,6.0,False,1,False
Seeing Red,6.0,False,1,False
SKIP,6.0,False,1,False
Pommel Strike,10.0,True,1,False
Flex,10.0,False,1,False
Heavy Blade,10.0,False,1,False
SKIP,10.0,False,1,False
Pommel Strike,11.0,True,1,False
Evolve,11.0,False,1,False
Sword Boomerang,11.0,False,1,False
SKIP,11.0,False,1,False
Singing Bowl,12.0,True,1,False
Seeing Red,12.0,False,1,False
Warcry,12.0,False,1,False
Fire Breathing,12.0,False,1,False
Singing Bowl,12.0,False,1,False
Singing Bowl,13.0,True,1,False
Twin Strike,13.0,False,1,False
Wild Strike,13.0,False,1,False
Dark Embrace,13.0,False,1,False
Singing Bowl,13.0,False,1,False
Anger,14.0,True,1,False
Bludgeon,14.0,False,1,False
Havoc,14.0,False,1,False
Singing Bowl,14.0,False,1,False
Offering,16.0,True,1,True
Limit Break,16.0,False,1,True
Demon Form,16.0,False,1,True
Singing Bowl,16.0,False,1,True
Uppercut,18.0,True,2,False
Shrug It Off,18.0,False,2,False
Dual Wield,18.0,False,2,False
Singing Bowl,18.0,False,2,False
Seeing Red,21.0,True,2,False
Havoc,21.0,False,2,False
True Grit,21.0,False,2,False
Singing Bowl,21.0,False,2,False
True Grit,23.0,True,2,False
Sword Boomerang,23.0,False,2,False
Armaments,23.0,False,2,False
Singing Bowl,23.0,False,2,False
Clash,1.0,True,1,False
