Card,Floor,Picked,Act,Boss
Hologram,1.0,True,1,False
Tempest,1.0,False,1,False
Melter,1.0,False,1,False
SKIP,1.0,False,1,False
Self Repair,3.0,True,1,False
Coolheaded,3.0,False,1,False
Ball Lightning,3.0,False,1,False
SKIP,3.0,False,1,False
Streamline,4.0,True,1,False
Turbo,4.0,False,1,False
Scrape,4.0,False,1,False
SKIP,4.0,False,1,False
Cold Snap,1.0,True,1,False
Turbo,1.0,False,1,False
Loop,1.0,False,1,False
SKIP,1.0,False,1,False
Coolheaded,3.0,True,1,False
Beam Cell,3.0,False,1,False
Capacitor,3.0,False,1,False
SKIP,3.0,False,1,False
Genetic Algorithm,5.0,True,1,False
Stack,5.0,False,1,False
Steam,5.0,False,1,False
SKIP,5.0,False,1,False
Ball Lightning,6.0,True,1,False
White Noise,6.0,False,1,False
Conserve Battery,6.0,False,1,False
SKIP,6.0,False,1,False
SKIP,8.0,True,1,False
Sweeping Beam,8.0,False,1,False
Barrage,8.0,False,1,False
Ball Lightning,8.0,False,1,False
SKIP,8.0,False,1,False
Self Repair,10.0,True,1,False
Reboot,10.0,False,1,False
Cold Snap,10.0,False,1,False
SKIP,10.0,False,1,False
Go for the Eyes,14.0,True,1,False
Sweeping Beam,14.0,False,1,False
Stack,14.0,False,1,False
SKIP,14.0,False,1,False
Streamline,1.0,True,1,False
Stack,1.0,False,1,False
Conserve Battery,1.0,False,1,False
SKIP,1.0,False,1,False
Coolheaded,7.0,True,1,False
Claw,7.0,False,1,False
Iron Wave,7.0,False,1,False
SKIP,7.0,False,1,False
Well Laid Plans,8.0,True,1,False
Secret Technique,8.0,False,1,False
Go for the Eyes,8.0,False,1,False
SKIP,8.0,False,1,False
JustLucky,11.0,True,1,False
ClearTheMind,11.0,False,1,False
Sword Boomerang,11.0,False,1,False
SKIP,11.0,False,1,False
Outmaneuver,12.0,True,1,False
Study,12.0,False,1,False
EmptyMind,12.0,False,1,False
SKIP,12.0,False,1,False
Spot Weakness,13.0,True,1,False
Perfected Strike,13.0,False,1,False
Entrench,13.0,False,1,False
SKIP,13.0,False,1,False
Iron Wave,14.0,True,1,False
Deep Breath,14.0,False,1,False
Dual Wield,14.0,False,1,False
SKIP,14.0,False,1,False
Echo Form,16.0,True,1,True
Devotion,16.0,False,1,True
Doppelganger,16.0,False,1,True
SKIP,16.0,False,1,True
Dual Wield,18.0,True,2,False
ThirdEye,18.0,False,2,False
Skewer,18.0,False,2,False
SKIP,18.0,False,2,False
SKIP,19.0,True,2,False
Discovery,19.0,False,2,False
Clash,19.0,False,2,False
Cloak And Dagger,19.0,False,2,False
SKIP,19.0,False,2,False
Clothesline,20.0,True,2,False
Iron Wave,20.0,False,2,False
Underhanded Strike,20.0,False,2,False
SKIP,20.0,False,2,False
SKIP,21.0,True,2,False
Swift Strike,21.0,False,2,False
Flex,21.0,False,2,False
Cold Snap,21.0,False,2,False
SKIP,21.0,False,2,False
PiercingWail,23.0,True,2,False
Vengeance,23.0,False,2,False
Weave,23.0,False,2,False
SKIP,23.0,False,2,False
Tools of the Trade,27.0,True,2,False
Undo,27.0,False,2,False
All Out Attack,27.0,False,2,False
SKIP,27.0,False,2,False
SKIP,28.0,True,2,False
Streamline,28.0,False,2,False
Iron Wave,28.0,False,2,False
Perfected Strike,28.0,False,2,False
SKIP,28.0,False,2,False
SKIP,30.0,True,2,False
Accuracy,30.0,False,2,False
Evaluate,30.0,False,2,False
Underhanded Strike,30.0,False,2,False
SKIP,30.0,False,2,False
TalkToTheHand,31.0,True,2,False
Vengeance,31.0,False,2,False
Study,31.0,False,2,False
SKIP,31.0,False,2,False
Apotheosis,33.0,True,2,True
Blasphemy,33.0,False,2,True
Multi-Cast,33.0,False,2,True
SKIP,33.0,False,2,True
Shrug It Off,35.0,True,3,False
Eviscerate,35.0,False,3,False
Coolheaded,35.0,False,3,False
SKIP,35.0,False,3,False
SKIP,37.0,True,3,False
ForeignInfluence,37.0,False,3,False
Anger,37.0,False,3,False
Heavy Blade,37.0,False,3,False
SKIP,37.0,False,3,False
Fasting2,38.0,True,3,False
True Grit,38.0,False,3,False
Establishment,38.0,False,3,False
SKIP,38.0,False,3,False
Acrobatics,39.0,True,3,False
FollowUp,39.0,False,3,False
Underhanded Strike,39.0,False,3,False
SKIP,39.0,False,3,False
SKIP,40.0,True,3,False
ForeignInfluence,40.0,False,3,False
Rip and Tear,40.0,False,3,False
Bane,40.0,False,3,False
SKIP,40.0,False,3,False
Compile Driver,42.0,True,3,False
Cleave,42.0,False,3,False
CrushJoints,42.0,False,3,False
SKIP,42.0,False,3,False
SKIP,45.0,True,3,False
Sweeping Beam,45.0,False,3,False
Stack,45.0,False,3,False
Leap,45.0,False,3,False
SKIP,45.0,False,3,False
SKIP,45.0,True,3,False
Sweeping Beam,45.0,False,3,False
Stack,45.0,False,3,False
Leap,45.0,False,3,False
SKIP,45.0,False,3,False
SKIP,47.0,True,3,False
Machine Learning,47.0,False,3,False
ClearTheMind,47.0,False,3,False
Spot Weakness,47.0,False,3,False
SKIP,47.0,False,3,False
SKIP,48.0,True,3,False
FlyingSleeves,48.0,False,3,False
Beam Cell,48.0,False,3,False
Go for the Eyes,48.0,False,3,False
SKIP,48.0,False,3,False
SKIP,55.0,True,4,False
Choke,55.0,False,4,False
Crescendo,55.0,False,4,False
Coolheaded,55.0,False,4,False
SKIP,55.0,False,4,False
Ball Lightning,1.0,True,1,False
SKIP,1.0,False,1,False
Fusion,7.0,True,1,False
SKIP,7.0,False,1,False
Streamline,8.0,True,1,False
SKIP,8.0,False,1,False
Sweeping Beam,10.0,True,1,False
SKIP,10.0,False,1,False
SKIP,11.0,True,1,False
Barrage,11.0,False,1,False
SKIP,11.0,False,1,False
Steam,14.0,True,1,False
SKIP,14.0,False,1,False
Electrodynamics,16.0,True,1,True
SKIP,16.0,False,1,True
BootSequence,18.0,True,2,False
SKIP,18.0,False,2,False
Turbo,22.0,True,2,False
SKIP,22.0,False,2,False
SKIP,23.0,True,2,False
Streamline,23.0,False,2,False
SKIP,23.0,False,2,False
Coolheaded,25.0,True,2,False
SKIP,25.0,False,2,False
Core Surge,28.0,True,2,False
SKIP,28.0,False,2,False
SKIP,30.0,True,2,False
Melter,30.0,False,2,False
SKIP,30.0,False,2,False
Compile Driver,31.0,True,2,False
SKIP,31.0,False,2,False
Machine Learning,33.0,True,2,True
SKIP,33.0,False,2,True
SKIP,35.0,True,3,False
Sweeping Beam,35.0,False,3,False
SKIP,35.0,False,3,False
SKIP,37.0,True,3,False
Heatsinks,37.0,False,3,False
SKIP,37.0,False,3,False
SKIP,38.0,True,3,False
Ball Lightning,38.0,False,3,False
SKIP,38.0,False,3,False
SKIP,39.0,True,3,False
Steam,39.0,False,3,False
SKIP,39.0,False,3,False
SKIP,40.0,True,3,False
Fusion,40.0,False,3,False
SKIP,40.0,False,3,False
SKIP,44.0,True,3,False
Claw,44.0,False,3,False
SKIP,44.0,False,3,False
Compile Driver,46.0,True,3,False
SKIP,46.0,False,3,False
SKIP,48.0,True,3,False
Scrape,48.0,False,3,False
SKIP,48.0,False,3,False
Seek,55.0,True,4,False
SKIP,55.0,False,4,False
Steam,1.0,True,1,False
Turbo,1.0,False,1,False
Static Discharge,1.0,False,1,False
SKIP,1.0,False,1,False
Coolheaded,2.0,True,1,False
Sweeping Beam,2.0,False,1,False
Conserve Battery,2.0,False,1,False
SKIP,2.0,False,1,False
Recycle,3.0,True,1,False
Redo,3.0,False,1,False
Force Field,3.0,False,1,False
SKIP,3.0,False,1,False
Reinforced Body,4.0,True,1,False
Streamline,4.0,False,1,False
Conserve Battery,4.0,False,1,False
SKIP,4.0,False,1,False
Tempest,10.0,True,1,False
Redo,10.0,False,1,False
Static Discharge,10.0,False,1,False
SKIP,10.0,False,1,False
Compile Driver,11.0,True,1,False
Tempest,11.0,False,1,False
