Card,Floor,Picked,Act,Boss
Leap,1.0,True,1,False
Claw,1.0,False,1,False
Blizzard,1.0,False,1,False
SKIP,1.0,False,1,False
Glacier,2.0,True,1,False
Conserve Battery,2.0,False,1,False
Ball Lightning,2.0,False,1,False
SKIP,2.0,False,1,False
Streamline,4.0,True,1,False
Chill,4.0,False,1,False
Rebound,4.0,False,1,False
SKIP,4.0,False,1,False
Rainbow,8.0,True,1,False
Hologram,8.0,False,1,False
Consume,8.0,False,1,False
SKIP,8.0,False,1,False
Sweeping Beam,10.0,True,1,False
Steam,10.0,False,1,False
Reinforced Body,10.0,False,1,False
SKIP,10.0,False,1,False
Cold Snap,12.0,True,1,False
Steam Power,12.0,False,1,False
Redo,12.0,False,1,False
SKIP,12.0,False,1,False
Self Repair,13.0,True,1,False
Consume,13.0,False,1,False
Rebound,13.0,False,1,False
SKIP,13.0,False,1,False
Doom and Gloom,14.0,True,1,False
Steam,14.0,False,1,False
Hologram,14.0,False,1,False
SKIP,14.0,False,1,False
Multi-Cast,16.0,True,1,True
All For One,16.0,False,1,True
Rainbow,16.0,False,1,True
SKIP,16.0,False,1,True
SKIP,18.0,True,2,False
Chaos,18.0,False,2,False
Streamline,18.0,False,2,False
Scrape,18.0,False,2,False
SKIP,18.0,False,2,False
Steam,21.0,True,2,False
Rebound,21.0,False,2,False
Redo,21.0,False,2,False
SKIP,21.0,False,2,False
Beam Cell,22.0,True,2,False
Capacitor,22.0,False,2,False
Melter,22.0,False,2,False
SKIP,22.0,False,2,False
Aggregate,24.0,True,2,False
White Noise,24.0,False,2,False
Streamline,24.0,False,2,False
SKIP,24.0,False,2,False
SKIP,25.0,True,2,False
Sweeping Beam,25.0,False,2,False
Claw,25.0,False,2,False
Reinforced Body,25.0,False,2,False
SKIP,25.0,False,2,False
Creative AI,28.0,True,2,False
Steam,28.0,False,2,False
Beam Cell,28.0,False,2,False
SKIP,28.0,False,2,False
Echo Form,29.0,True,2,False
Go for the Eyes,29.0,False,2,False
Hello World,29.0,False,2,False
SKIP,29.0,False,2,False
SKIP,31.0,True,2,False
Rebound,31.0,False,2,False
Ball Lightning,31.0,False,2,False
Turbo,31.0,False,2,False
SKIP,31.0,False,2,False
Turbo,31.0,True,2,False
Rebound,31.0,False,2,False
Ball Lightning,31.0,False,2,False
SKIP,31.0,False,2,False
Fission,33.0,True,2,True
Creative AI,33.0,False,2,True
Multi-Cast,33.0,False,2,True
SKIP,33.0,False,2,True
SKIP,35.0,True,3,False
Beam Cell,35.0,False,3,False
Rebound,35.0,False,3,False
Go for the Eyes,35.0,False,3,False
SKIP,35.0,False,3,False
Hologram,37.0,True,3,False
Self Repair,37.0,False,3,False
Consume,37.0,False,3,False
SKIP,37.0,False,3,False
Steam Power,40.0,True,3,False
Barrage,40.0,False,3,False
Turbo,40.0,False,3,False
